question,A,B,C,D,correct_answer
"When an acid reacts with a metal, which one of the following gas is usually liberated?",A. Ammonia Gas,B. Chlorine,C. Oxygen,D. Hydrogen gas,D
"The protein Improtin-11, that was recently identified by scientists, is linked with causing which type of cancer?",A. Blood Cancer,B. Colorectal Cancer,C. Lung Cancer,D. Prostate Cancer,B
The study of X-rays and their medical applications is called _________ ?,A. Radiology,B. Raciology,C. Rheumatology,D. Rheology,A
Permanent hardness of water due to sulphate of metals can be destroyed by the use of ________ ?,A. Zeolites,B. Sulphonides,C. Lime,D. Nitrates,A
What is the Chemical formula of Zinc Hydroxide _________ ?,A. Zn(OH)2,B. ZNO2,C. Zn2(OH)3,D. ZnOH,A
The valency of carbon Atom is __________ ?,A. 1,B. 2,C. 3,D. 4,D
What is the Medical term for Fever?,A. HHypothermia,B. Pyrexia,C. Hypertension,D. Thermophilia,B
"In context of environment, the term “dirty dozen” refers to _____?",A. 12 most harmful greenhouse gases,B. 12 ozone depleting substances,C. 12 persistent organic pollutants,D. None of the above,C
Only male frog produce croacking sound because _________ ?,A. Male frog can magnify their voice with the help of sound box.,B. Male frog have three pair of vocal cord,C. Female frog have larynx but no vocal cord,D. Female frog have no larynx,D
What type of a mirror is used in anti-shop-lifting-devices?,A. Convex mirror,B. Concave mirror,C. Plane mirror,D. Both (b) and (c),A
Why the colour of the Ocean appears blue?,A. Because the sunlight falling on it is scattered.,B. Because the sunlight falling on it is absorbed.,C. Because the sunlight falling on it is refracted.,D. Because the sunlight falling on it is reflected.,A
The distance between the optical centre of a convex lens and its principal focus is called its_______?,A. Focal Length,B. Radius of Curvature,C. Power,D. Magnification,A
A convex mirror always ___________ ?,A. Forms a real image,B. Forms a virtual image,C. Forms an inverted image,D. Produces a larger image,B
Which among the following types of lenses are prescribed by doctors for a patient suffering from astigmatism?,A. Cylindrical Lens,B. Concave Lens,C. Spherical Lens,D. Convex Lens,A
A doctor who specializes in diseases of the nose?,A. Rhinologist,B. Otologist,C. Pathologist,D. Podiatrist,A
What animal has longest gestation period of about 640 to 660 days or 95 weeks of any land animal ?,A. Blue Whale,B. Elephant,C. Opossum,D. None of these,B
Which of the following is a force?,A. Heat,B. Light,C. Magnetism,D. Kinetic,C
Dioptre is a unit of measurement for __________ ?,A. Current,B. Lens,C. Force,D. Focal Length,B
Transistor is a device that convert weak signal into__________?,A. small signal,B. strong signal,C. both,D. none,B
Second name of ethyl alcohol is___________?,A. Ethene,B. Ethanol,C. Propyle,D. none,B
Eletromagneticism is the branch of___________?,A. Chemistry,B. Physics,C. Both,D. None of these,B
Which one of the following non-metals is not a poor conductor of electricity?,A. Sulphur,B. Selenium,C. Bromine,D. Phosphorus,B
Which of the following is the world’s loudest bird ?,A. White bellbird,B. Peacock,C. Piha,D. None of the above,A
Which one of the following is not a radioactive element ?,A. Cadmium,B. Thorium,C. Radium,D. Uranium,A
Which of the following is used in beauty parlours for hair setting?,A. Silicon,B. Chlorine,C. Sulphur,D. Phosphorus,C
Which of the following is not a chemical reaction ?,A. Burning of coal,B. Conversion of water into steam,C. Digestion of food,D. Burning of paper,B
Which of the following is commonly called a polyamide ?,A. Rayon,B. Nylon,C. Terylene,D. Orion,B
Which of the following protects the body against infectious disease and foreign invaders?,A. Leukocytes,B. Red blood cells,C. Endoplasmic reticulum (ER),D. Golgi apparatus,A
What’s the Strongest Muscle in the Human Body based on its weight?,A. Hands,B. Masseter,C. Neck,D. Legs,B
"Which of the following is the study of micro- organisms, mostly viruses and single called organisms such as bacteria, yeasts and protozoa ?",A. Microbiology,B. Micrology,C. Histopathology,D. Tavelogy,A
Name the animal which can live without water in its entire life?,A. Desert lizard,B. Camel,C. Kangaroo rat,D. Cuttlefish,C
NASA scientists have recently detected water vapor on which Jupiter’s moon?,A. Callisto,B. Europa,C. lo,D. None,B
Isotopes of an element have the same number of _______?,A. Neutrons,B. Protons,C. Electrons,D. Beta rays,B
“Gastric juice” is a secretion of the glands present in________?,A. Gall Bladder,B. Kidneys,C. Stomach,D. None of these,C
Hepatitis C is a leading cause of_________?,A. HIV,B. Diabetes,C. Chronic Liver disease,D. AIDS,C
Sound travels in air at an average speed of nearly________ ?,A. 1257 miles per hour,B. 755 miles per hour,C. 330 miles per hour,D. None of these,B
When sound waves travel from air to water which of the following quantities remains unchanged?,A. Speed,B. Frequency,C. Intensity,D. Wavelength,B
Which of the following is both endocrine and exocrine gland?,A. thyroid,B. pancreas,C. parathyroid,D. all of these,B
"All of the following organs in the human body are located both on the right and the left sides, except;_________?",A. Lungs,B. Kidneys,C. Spleen,D. Eyes,C
The main cause of floods in the river is__________?,A. Heavy snowfall,B. Earthquakes,C. Deforestation,D. Construction of dams,C
Hyetology is the study of__________?,A. High pressure,B. Rainfall,C. High temperature,D. Earthquake,B
Birth control pills contain synthetic________?,A. Sugars,B. Hormones,C. Vitamins,D. Minerals,B
Cover of the capsule is made of__________?,A. Paper,B. Polythene,C. Eggshell,D. Gelatin,D
What part of the brain controls thirst and hunger?,A. Thalamus,B. Hypothalamus,C. Aymgdala,D. None,B
Which of the following invention is oldest ?,A. Clock,B. Microscope,C. Barometer,D. Cycle,A
Which instrument is used to measure the power of electric circuit ?,A. Wavemeter,B. Viscometer,C. Wattmeter,D. None of these,C
Which waves are used in sonography?,A. Ultrasonic waves,B. Electromagnetic Waves,C. Fundamentals of waves,D. Transverse wave,A
Substance whose atoms can be split are known as __________ materials.,A. Fusionable,B. Fissionable,C. Combustible,D. None of these,B
Transistors do not need a warm up period because they have no ?,A. Plate,B. Grid,C. Filament,D. None of above,C
Involuntary muscles in a human body are present in__________?,A. Brain,B. Tongue,C. Digestive system,D. Limbs,C
Which of the following has not involuntary muscles?,A. Bigestive System,B. Blood Vessels,C. Heart,D. Brains,D
Tyndall effect is related to the ______ of light?,A. Reflection,B. Dispersion,C. Scattering,D. Refraction,C
______ is the “Work done in moving a unit charge between two points in an electric circuit”?,A. Potential difference,B. Current,C. Power,D. Resistence,A
The contraction and expansion of the movement of the walls of the food pipe after entering the slightly digested food is known as ______ movement,A. Gastric,B. Diastolic,C. Peristaltic,D. Oscillatory,C
The process of splitting water molecules in the presence of light energy is called_________?,A. Electrolysis,B. Photolysis,C. Radiolysis,D. Thermolysis,B
______ soil is also called Regur soil?,A. Desert,B. Mountain,C. Black,D. Alluvial,C
"A Rhinoscope (or Nasoscope) is a thin, tube-like instrument used to examine the inside of the_____?",A. Eyes,B. Nose,C. Ears,D. Brains,B
What is Melioidosis?,A. Infectious disease,B. Loss of memory,C. Red spot in skin,D. Pain in joints,A
The Study of human beauty is called____________?,A. Oncology,B. Agrostology,C. Kalology,D. Argology,C
Which of the following bonds are weakest in nature?,A. Single bond,B. Double bond,C. Triple bond,D. Hydrogen bond,D
The most suitable unit for expressing nuclear radius is_______?,A. Angstrom,B. Micro,C. Nano meter,D. Fermi,D
Name the Scientist who stated that matter can be converted into energy?,A. Boyle,B. Einstein,C. Avogadro,D. Lavoisier,B
Which has the lowest pH?,A. Hepatic Bile,B. Gastric Juice,C. Saliva,D. Pancreatic Juice,B
The photo-receptors in the eye are present in___________?,A. Cornea,B. Retina,C. Iris,D. Sclera,B
The turning effect of force is called_________?,A. Moment,B. Momentum,C. Torque,D. None of these,C
Which law states that the rate of the effusion of a gas is inversely proportional to the square root of its density?,A. Graham’s Law,B. Gay-Lussac’s law,C. Boyle’s law,D. None of these,A
Which law states that the volume of a given amount of gas held at constant pressure is directly proportional to the Kelvin temperature?,A. Charles’ Law,B. Avogadro’s Law,C. Graham’s Law,D. Boyle’s law,A
By which process does the smell of cooking spread to all the rooms in a house?,A. Distillation,B. Diffusion,C. Decomposition,D. Displacement,B
Which of the following waves have smallest velocity in vacuum?,A. Ultraviolet,B. Sound,C. Infra-Red,D. Micro,B
"Which law states that “equal volumes of all gases, at the same temperature and pressure, have the same number of molecules?",A. Boyle’s law,B. Charles’ law,C. Gay-Lussac’s law,D. Avogadro’s law,D
Which of the following noble gases is abundant in air?,A. Neon,B. Helium,C. Argon,D. Methane,C
Which of the following noble gases is not present in atmosphere?,A. Argon,B. Helium,C. Radon,D. Xenon,C
The movement of any solvent across a semipermeable membrane is called__________?,A. Osmosis,B. Cataphoresis,C. Electrolysis,D. Electrophoresis,A
The process whereby energy is dissipated from the oscillating system is called__________?,A. Oscillation,B. Damping,C. Resonance,D. None of these,B
Internal friction of fluid is called_________?,A. Viscosity,B. Surface tension,C. Resistance,D. Cohesive force,A
What is the name of the gas used in an air conditioner?,A. Ammonia,B. Nitrous oxide,C. Freon,D. CO2,C
What is the one of the other name of Vitamin “A”?,A. Riboflavin,B. Ascorbic Acid,C. Retinol,D. Thiamin,C
Which of the following gland has  shape of butterfly?,A. Thyroid gland,B. Pituitary gland,C. Adrenal gland,D. Pineal gland,A
Another name of vitamin C is__________?,A. Ascorbic Acid,B. Acitic Acid,C. Citric Acid,D. Lysozyme,A
Which of following is the smallest endocrine gland in the human body?,A. Thyroid gland,B. Pituitary gland,C. Adrenal gland,D. Pineal gland,B
Which gas is used to extinguish fire?,A. Nitrous Oxide,B. Methane,C. Carbon Dioxide,D. Carbon Dioxide & Nitrous Oxide,C
__________ gas is released when coal is burnes in ln lack of Oxygen?,A. Carbon Dioxide,B. Methane,C. Ethene,D. Carbon Monoxide,D
Fan was invented by___________?,A. Arthur Schimit,B. Alfered Nobel,C. Skaats Wheeler,D. None of these,C
According to which law gas is directly proportional to temperature?,A. Charles Law,B. Boyles Law,C. Grams Law,D. Dalton’s Law,A
Who said that light is made of corpuscles/particles?,A. Maxwell,B. Einstein,B. Newton,D. Huygein,B
Who discovered blood circulation?,A. Carl Linnaeus,B. Francis Crik,C. Robert. Brown,D. William Harvey,D
Who invented steamboat?,A. James Watt,B. Robert Fluton,C. Frank Whittle,D. George Stephenson,B
Other name of white blood cells is _____________?,A. Erythrocytes,B. Leukocytes,C. Thrombocytes,D. None of these,B
Other name of platelets _______?,A. Erythrocytes,B. Leukocytes,C. thrombocytes,D. None of these,C
Other name of red blood cells is ____________?,A. Erythrocytes,B. Leukocytes,C. Thrombocytes,D. None of these,A
Albert Einstein was a____________?,A. Physicist,B. Physician,C. Chemist,D. Biologist,A
Bubo bubo is the scientific name of which of the following species?,A. Hen,B. Peacock,C. Eagle,D. Owl,D
Which of the following flower is called Queen of Water?,A. Rose,B. Lilly,C. Rafflesia,D. Tulip,B
What is the largest flower in the world?,A. Conifer,B. Fern,C. Rafflesia,D. Horsetail,C
How many latitude lines are there?,A. 90,B. 180,C. 270,D. 360,B
Who is the known as the father of taxonomy?,A. Aristotle,B. Fransco Redi,C. Carolus Linnaeus,D. Rachel Carson,C
Which of the following is a currency of Body cells?,A. ADP,B. DNA,C. RNA,D. ATP,D
Which of the following acid is used in Ink?,A. Valeric,B. Acetic,C. Formic,D. Tannic,D
How is ammonia synthesized?,A. Herber process,B. Regrigration process,C. Contact process,D. All of these,A
Which of the following science is considered “mother of all sciences”?,A. Biology,B. Mathematics,C. Physics,D. Chemistry,B
Which of the following letter does not represent in periodic table?,A. X,B. K,C. J,D. N,C
There is a hole in the Ozone Layer at__________?,A. South Pole,B. North Pole,C. Both A and B,D. None of These,A
Wisdom teeth normally grow between the age of___________?,A. 34-40,B. 17-30,C. 45-55,D. 10-17,B
Chronometer is invented by________?,A. Robert Fulton,B. Nikola Tesla,C. Martin Cooper,D. John Harrison,D
Which is the purest form of water?,A. Rain water,B. Heavy water,C. Tap water,D. None of these,A
Animals use nitrogen in the form of_________?,A. Nitrogen,B. Nitrates,C. Nitrites,D. None of Above,C
Dinosaurs and many other species were extinct about ________ years ago.,A. 55 million,B. 66 million,C. 75 million,D. 85 million,B
The biggest planet in solar system is ______ and having _____ moons?,"A. Uranus , Sixteen","B. Jupiter, Seventy-nine","C. Saturn, Sixteen","D. Uranus, two",B
Edward Genner discovered ‘vaccine’ in___________?,A. 1796,B. 1978,C. 1686,D. 1933,A
speed of sound in dry air at 20 °C is___________?,A. 353 m/s,B. 345 m/s,C. 343 m/s,D. none of them,C
Sound travels about ___________times faster in water than in air.,A. 2,B. 3,C. 4,D. 5,C
Nervous system includes which of these major components?,A. Brain,B. Brain & Back Bone,"C. brain, spinal cord and neurons",D. None,C
The lenses are used for the correction of:____________?,A. Long-sightedness,B. short sightedness,C. Both A & B,D. None of those,C
Water has been discovered on which potentially habitable super-Earth ?,A. K2-14d,B. K2-15c,C. K2-13a,D. K2-18b,D
The Saturn rings discovered by___________?,A. Newton,B. Robert Brown,C. Galileo,D. None of these,C
The Planet which revolves slowly around the Sun is__________?,A. Mercury,B. Mars,C. Earth,D. Neptune,D
The “Rising” of the “evening star” indicates the direction of the____________?,A. South Pole,B. East,C. West,D. North,C
Reptiles hibernate during_______?,A. Summer,B. Winter,C. Spring,D. Autumn,B
Which of the following plants are called arthrophytes?,A. Sphenopsids,B. Lycopsids,C. Psilopsids,D. Pteropsids,A
Apiculture refers to___________?,A. Rearing silk worms,B. Science of bee keeping,C. Science of gardening,D. Science of cultural norms and trends,B
Ring planet is Saturn; least dense and 2nd largest planet is_________?,A. Jupiter,B. Saturn,C. Neptune,D. Mercury,B
The most dense and heaviest planet is___________?,A. Jupiter,B. Earth,C. Mars,D. Venus,B
Guava has the maximum amount of which Vitamin?,A. vitamin K,B. vitamin B,C. vitamin C,D. vitamin D,C
Black gold is an oil; Black diamond is_________?,A. Copper,B. Iron,C. Coal,D. Wood,C
Trypsin is an enzyme which digests protein produced by_____________?,A. Liver,B. Pancreas,C. Stomach,D. Small intestine,C
Biopsy is done on tissues taken from__________?,A. Human body,B. Animal body,C. Living body,D. Dead body,C
Liver uses which vitamin for creating new Red Blood cells?,A. B12,B. B6,C. A,D. K,A
The only living cells in the body without blood supply is___________?,A. Pupil,B. Nail,C. Cornea,D. Hair,C
Ozone layer protects the Earth from __________ radiations from the Sun.,A. microwaves,B. infrared,C. X-rays,D. ultraviolet,D
A common skin condition that causes skin redness and irritation is known as_________?,A. Psoriasis,B. Hypermetropia,C. Leukoderma,D. Diphtheria,A
