question,A,B,C,D,correct_answer
The length of a rectangular increased by 10% and it;s breadth is decreased by 10 %. Then the area of the new rectangle is_________?,A. Neither increased nor decreased,B. Increased by 1%,C. Decreased by 1%,D. Decreased by 10%,C
Total area of the 64 small squares of aches board is 400cm2. There is 3cm wide border around the chess board. What is the length of each side of the chess board?,A. 17cm,B. 20cm,C. 23cm,D. 26cm,D
A path of uniform width turns the inside of a rectangular field 38m long and 32m wide. IF the path occupies 600 m2than the width of the path is_______?,A. 3m,B. 5m,C. 8.75m,D. 10m,B
How many meters of carpet 63cm will be required to be a floor of a room 14m by 9cm?,A. 200m,B. 210m,C. 220m,D. 185m,A
A rectangular measure 8cm on length and it’s diagonals measures 10cm what is the perimeter of the rectangular?,A. 36cm,B. 38cm,C. 28cm,D. 18cm,C
The perimeter of a floor of a room is 18m.What is the area of four walls of the room if it; a height is 3m?,A. 21 Sq.m,B. 42 Sq.m,C. 54 Sq.m,D. 108 Sq.m,C
A rectangular courtyard 3.78min long and 5.25m broad is to be paved exactly with square tiles all of the same size. The minimum number of such tiles is_________?,A. 430,B. 440,C. 450,D. 460,C
A room is 12 ¼ m long and 7w wide. The maximum length of a square tile to fill the floor of the room with whole number of it’s tiles should be_________?,A. 200cm,B. 175cm,C. 125cm,D. 150cm,B
A rectangular carpet has an area of 120 square meters and a parameter of 46m. The length of it’s diagonals is_________?,A. 11m,B. 13m,C. 15m,D. 17m,D
The Ratio of the length and breadth of a plot is 3:2 .If the breadth is 40m less than the what is the parameter of the plot?,A. 480m,B. 320m,C. 400m,D. 450m,C
"The length of a rectangular plot is 4 ½ times that of its breadth. IF the area of the plot is 200 square meters, then what is it’s length?",A. 25m,B. 30m,C. 44m,D. None of these,B
A rectangular carpet has an area of 60 sq.m its diagonal and longer side together equal 5 times the shorter side. The length of the carpet is:_________?,A. 5m,B. 12m,C. 13m,D. 14.5m,B
A rectangular carpet has an area of 120 sq.m and a perimeter of 46 m. The length of its diagonal is:_________?,A. 15 m,B. 16 m,C. 17 m,D. 20 m,C
parallelogram has sides 60 m and 40 m and one of its diagonals is 80 m long then its area is:__________?,A. 480 sq.m,B. 320 sq.m,C. 600√15 sq.m,D. 450√15,C
If a square and a rhombus stand on the same base then the ratio of the areas of the squares and the rhombus is:_________?,A. greater than 1,B. equal to 1,C. equal to 1/2,D. equal to ¼,B
In a rhombus whose area is 144 sq.cm on of its diagonals is twice as long as the other. The lengths of its diagonals are:_________?,"A. 24 cm,48cm","B. 12cm,24cm","C. 6√2cm,12√2cm","D. 6cm,12cm",B
The length of a rope by which a cow must be tethered in order that she may be able to graze an area of 9856 sq.m is:________?,A. 56m,B. 64m,C. 88m,D. 168m,A
The circumferences of two concentric circles are 176 m and 132 cm respectively. What is the difference between their radii?,A. 5 m,B. 7 m,C. 8 m,D. 44 m,B
The diameter of a circle is 105 cm less than the circumference what is the diameter of the circle?,A. 44 cm,B. 46 cm,C. 48 cm,D. 49 cm,D
The number of rounds that a wheel of diameter 7/11 m will make in going 4 km is:_________?,A. 1000,B. 1500,C. 1700,D. 2000,D
A circular wire of radius 42 cm is cut and bent in the form of a rectangle whose sides are in the ration of 6:5 The smaller side if the rectangle is:_________?,A. 30 cm,B. 60 cm,C. 72 cm,D. 132 cm,B
If the diameter of a circle is increased by 100 % its area is increased by:_________?,A. 100%,B. 200%,C. 300%,D. 400%,C
If the radius of a circle be reduced by 50% its area is reduced by:_________?,A. 25 %,B. 50%,C. 75%,D. 100%,C
If the circumference of a circle is 352 meters then its area in Sq.m is:________?,A. 9856,B. 8956,C. 6589,D. 5986,A
Area of a square with side x is equal to the area of a triangle with base x. The altitude of the triangle is:________?,A. x/2,B. x,C. 2x,D. 4x,C
If the diagonal of a square is doubled. How does the area of the square change?,A. Becomes fourfold,B. Becomes threefold,C. Becomes twofold,D. none of the above,A
If the base of rectangle is increased by 10 % and the area is unchanged then the corresponding altitude must be decreased by:________?,A. 9 1/11 %,B. 10%,C. 11%,D. 11 1/9 %,A
"The length of a rectangle is twice its breadth, if length is decreased by 5 cm and the breadth is increased by 5 cm. The length of the rectangle is_________?",A. 20 cm,B. 30 cm,C. 40 cm,D. 50 cm,C
A rectangle has 15 cm as its length and 159 cm2as its area. Its area is increased to 1 1/3 times the original area by increasing only its length its new perimeter is:_________?,A. 50 cm,B. 60 cm,C. 70 cm,D. 80 cm,B
The length of a rectangular room is 4 meters. If it can be partitioned into two equal square rooms. What is the length of each partition in meters:________?,A. 1,B. 2,C. 4,D. Data Inadequate,B
The length and breadth of a square are increased by 40% and 30% respectively. The area of the resulting rectangle exceeds the area of the square by:________?,A. 42%,B. 62%,C. 82%,D. none of these,C
A hall 20 m long and 15 m broad is surrounded by a verandah of uniform width of 2.5 m. The cast of flooring the verandah at the rate of Rs 3.50 per sq. Meter is__________?,A. Rs.500,B. Rs. 600,C. Rs. 700,D. Rs. 800,C
If the ratio of the areas of two squares is 9:1 ratio of their perimeters is_________?,A. 9:1,B. 3:1,C. 3:4,D. 1:3,B
The length of a rectangle is increased by 60 %. By what percent would the width have to be decreased to maintain the same area?,A. 37 ½ %,B. 60 %,C. 75 %,D. 120%,A
The area of a rectangle is thrice that of a square. The length of the rectangle is 40 cm and the breadth of the rectangle is (3/2) times of the square. The side of the square in cm is__________?,A. 15,B. 20,C. 30,D. 60,B
The length of a hall is (4/3) times its breadth. If the area of the hall be 300 square meters the difference between the length and breadth is__________?,A. 15m,B. 4m,C. 3m,D. None of these,D
If the side of a square is increased by 25 % then how much percent does it’s area get increased:,A. 125,B. 156.25,C. 50,D. 56.25,D
The ratio between the length and breadth of a rectangular field is 5:4. If the breadth is 20 meters less than the length. The perimeter of the field is_________?,A. 260m,B. 280m,C. 360m,D. None of these,C
The length and breadth of a rectangular piece of land are in the ratio of 5:3. The owner spent Rs 3000 for surroundings it from are the sides at Rs 7.50 per meter. The difference between is length and breadth is_________?,A. 50m,B. 100m,C. 150m,D. 200m,A
The length and breadth of play ground are 36 m and 21 m respectively. Flag staffs are required to be fixed on all along the boundary at a distance of 3 m part. The number of flag staffs will be___________?,A. 37,B. 38,C. 39,D. 40,B
The Length of a plot is four times is breadth. A playground measuring 1200 square meters occupies a third of the total area of the plot. What is the length of the plot in meters?,A. 20,B. 30,C. 60,D. None of these,D
If the length of diagonal AC of a square ABCD is 5.2 cm then area of the square ABCD is_________?,A. 15.12 sq.cm,B. 13.52 sq.cm,C. 12.62 sq.cm,D. 10 sq.cm,B
"In a Circle of Radius 5 cm if AB and AC are two equal chords of length 6cm each, then the length of chord BC is___________?",A. 24/5 cm,B. 12/5 cm,C. 7/5 cm,D. None of these,D
"A big rectangular plot of area 4320 Sq.m is divided into 3 square shaped smaller plots by fencing parallel to the smaller side of the plot. However, some area of land was still left as a square plot could not be formed. So 3 more square shaped plots were formed by fencing parallel to the longer side of the original plot. Such that no area of the plot was left a surplus. What are the dimensions of the original plot?",A. 160m × 27m,B. 240m × 18m,C. 120m × 36m,D. 135m × 32m,C
Which one of the following has a greater perimeter than the rest?,A. A square with an area of 36 sq.cm,B. An Equilateral Triangle with a side of 9 cm,C. A rectangle with 10 cm as length and 40 sq.cm as area,D. A circle with a radius of 4 cm,C
A circular path of 13 m radius has marginal walk 2 m wide all round it. Find the cost of leveling the walk at 25p per m2?,A. Rs.45,B. Rs.78,C. Rs.44,D. Rs.40,C
The perimeter of a semi circle is 144 cm then the radius is_________?,A. 25 cm,B. 28 cm,C. 30 cm,D. 35 cm,B
The radius of a semi circle is 6.3 cm then its perimeter is?,A. 35.4 cm,B. 32.4 cm,C. 32 cm,D. 30 cm,B
What is the ratio between perimeters of two squares one having 3 times the diagonal then the other?,A. 4:8,B. 1:4,C. 6:2,D. 3:1,D
The radius of the two circular fields is in the ratio 3: 5 the area of the first field is what percent less than the area of the second?,A. 50%,B. 60%,C. 40%,D. 64%,D
"The ratio of the radius of two circles is 1: 3, and then the ratio of their areas is_________?",A. 1:3,B. 1:6,C. 1:9,D. 1:5,C
If the wheel is 14 cm then the number of revolutions to cover a distance of 1056 cm is?,A. 15,B. 10,C. 14,D. 12,D
"The radius of a circular wheel is 1.75 m, how many revolutions will it make in traveling 1 km?",A. 1000,B. 2000,C. 3000,D. 4000,A
Find the cost of fencing around a circular field of diameter 28 m at the rate of Rs.1.50 a meter?,A. Rs.150,B. Rs.132,C. Rs.100,D. Rs.125,B
If the area of circle is 616 sq cm then its circumference?,A. 78 m,B. 88 m,C. 75 m,D. 70 m,B
Find the area of circle whose radius is 7m?,A. 124 sq m,B. 154 sq m,C. 145 sq m,D. 167 sq m,B
Find the area of the quadrilateral of one of its diagonals is 20 cm and its off sets 9 cm and 6 cm?,A. 120 sq m,B. 150 sq m,C. 110 sq m,D. 300 sq m,B
The radius of a circle is increased by 1%. Find how much % does its area increases?,A. 1.01%,B. 5.01%,C. 3.01%,D. 2.01%,D
"The cross-section of a cannel is a trapezium in shape. If the cannel is 10 m wide at the top and 6 m wide at the bottom and the area of cross-section is 640 sq m, the depth of cannel is_________?",A. 20 m,B. 60 m,C. 40 m,D. 80 m,D
The side of a square is increased by 25% then how much % does its area increases?,A. 52.65,B. 56.25,C. 50.75,D. 42.75,B
The area of a parallelogram is 128sq m and its altitude is twice the corresponding base. Then the length of the base is_________?,A. 8 m,B. 10 m,C. 6 m,D. 12 m,A
The diagonals of a rhombus are 15 cm and 20 cm. Find its area?,A. 120 sq m,B. 300 sq m,C. 150 sq m,D. 480 sq m,C
The side of a rhombus is 26 m and length of one of its diagonals is 20 m. The area of the rhombus is_______?,A. 529 sq m,B. 240 sq m,C. 260 sq m,D. 480 sq m,D
The length and breadth of a rectangle is increased by 10% and 25% respectively. What is the increase in the area?,A. 27.5%,B. 37.5%,C. 47.5%,D. 57.5%,B
The length of a rectangle is increased by 25% and its breadth is decreased by 20%. What is the effect on its area?,A. Remains same,B. 5% decrease,C. 5% increase,D. 10% increase,A
"A rectangular lawn of dimensions 80 m * 60 m has two roads each 10 m wide running in the middle of the lawn, one parallel to the length and the other parallel to the breadth. What is the cost of traveling the two roads at Rs.3 per sq m?",A. Rs.3600,B. Rs.3700,C. Rs.3800,D. Rs.3900,D
"A rectangular grass field is 75 m * 55 m, it has a path of 2.5 m wide all round it on the outside. Find the area of the path and the cost of constructing it at Rs.2 per sq m?","A. 675, Rs.1350","B. 575, Rs.1350","C. 1350, Rs.675",D. None,A
"The length of rectangle is thrice its breadth and its perimeter is 96 m, find the area of the rectangle?",A. 432 sq m,B. 356 sq m,C. 452 sq m,D. 428 sq m,A
"The area of a square field 3136 sq m, if the length of cost of drawing barbed wire 3 m around the field at the rate of Rs.1.50 per meter. Two gates of 1 m width each are to be left for entrance. What is the total cost?",A. Rs.1014,B. Rs.1140,C. Rs.999,D. Rs.1085,C
"A rectangular farm has to be fenced one long side, one short side and the diagonal. If the cost of fencing is Rs.10 per meter. The area of farm is 1200 m2 and the short side is 30 m long. How much would the job cost?",A. Rs.700,B. Rs.1200,C. Rs.1400,D. Rs.1500,B
The length of the rectangular field is double its width. Inside the field there is square shaped pond 8m long. If the area of the pond is 1/8 of the area of the field. What is the length of the field?,A. 31 m,B. 32 m,C. 16 m,D. 20 m,B
Find the number of square tiles to cover the floor of a room measuring 4 m * 9 m leaving 0.25 m space around the room. A side of square tile is given to be 25 cms?,A. 425,B. 476,C. 450,D. 350,B
"How many paying stones, each measuring 2 1/2 m * 2 m are required to pave a rectangular court yard 30 m long and 16 1/2 m board?",A. 99,B. 90,C. 95,D. 100,A
"Sides of a rectangular park are in the ratio 3: 2 and its area is 3750 sq m, the cost of fencing it at 50 ps per meter is_______?",A. Rs.150,B. Rs.100,C. Rs.125,D. Rs.175,C
A man walked 20 m to cross a rectangular field diagonally. If the length of the field is 16 cm. Find the breadth of the field is________?,A. 11 m,B. 12 m,C. 13 m,D. 14 m,B
One side of a rectangular field is 4 m and its length along diagonal is 5 m. What is the area of the field?,A. 12 sq m,B. 4√14 sq m,C. 20 sq m,D. 15 sq m,A
A rectangular field has area equal to 150 sq m and perimeter 50 m. Its length and breadth must be________?,"A. 12 m, 10 m","B. 13 m, 12 m","C. 14 m, 11 m","D. 15 m, 10 m",D
"If the perimeter of a rectangular garden is 600 m, its length when its breadth is 100 m is________?",A. 650 m,B. 600 m,C. 200 m,D. 300 m,C
The perimeter of one square is 48 cm and that of another is 20 cm. Find the perimeter and the diagonal of a square which is equal in area to these two combined?,A. 15√2 cm,B. 13√2 cm,C. 16√2 cm,D. 17√2 cm,B
The ratio of the area of a square to that of the square drawn on its diagonal is?,A. 2:5,B. 3:4,C. 3:5,D. 1:2,D
The ratio of the area of a square to that of the square drawn on its diagonal is_________?,A. 2:5,B. 3:4,C. 3:5,D. 1:2,D
What is the perimeter of a square field whose diagonal is 8√2?,A. 64 m,B. 32 m,C. 30 m,D. 16 m,B
What is the area of a square field whose diagonal of length 20 m?,A. 300 sq m,B. 250 sq m,C. 200 sq m,D. 400 sq m,C
What is the area of square field whose side of length 15 m?,A. 225 sq m,B. 220 sq m,C. 100 sq m,D. 30 sq m,A
The base of a right triangle is 8 and hypotenuse is 10. Its area is________?,A. 12,B. 80,C. 59,D. 24,A
The altitude of an equilateral triangle of side 2√3 cm is_________?,A. 3/2 cm,B. 1/2 cm,C. 3/4 cm,D. 3 cm,D
The length of each side of an equilateral triangle having an area of 4√3 cm2is_______?,A. 4/3 cm,B. 3/4 cm,C. 3 cm,D. 4 cm,D
"The area of a triangle will be when a = 1m, b = 2m, c = 3m, a, b, c being lengths of respective sides.",A. 0 sq m,B. 3 sq m,C. 2 sq m,D. 6 sq m,A
The area of a triangle is with base 4m and height 5m?,A. 20 sq m,B. 10 sq m,C. 5 sq m,D. 3 sq m,B
Bilal’s room has a floor of 8m by 4m. He decides to tile the floor with tiles of 25cm x 20 cm. How many tiles will he need?,A. 320 tiles,B. 640 tiles,C. 160 tiles,D. 6.4 tiles,B
"A rectangular field is to be fenced on three sides leaving a side of 20 feet uncovered. If the area of the field is 680 sq. feet, how many feet of fencing will be required?",A. 34,B. 40,C. 68,D. 88,D
"The length of a rectangular plot is 20 metres more than its breadth. If the cost of fencing the plot @ 26.50 per metre is Rs. 5300, what is the length of the plot in metres?",A. 40,B. 50,C. 120,D. None of These,D
"The length of a rectangle is halved, while its breadth is tripled. What is the percentage change in area?",A. 25% increase,B. 50% increase,C. 50% decrease,D. 75% decrease,B
"The difference between the length and breadth of a rectangle is 23 m. If its perimeter is 206 m, then its area is__________?",A. 1520 m2,B. 2420 m2,C. 2480 m2,D. 2520 m2,D
Water flows a tank 200 x 150m through a rectangular pipe 1.5 x 1.25m at the rate at 20kmph. In what time will be water rises by 2 meters?,A. 76 min,B. 80min,C. 90min,D. 96min,D
The surface area of a (10cm x 4cm x3cm) brick is__________?,A. 84 Sq.cm,B. 124 Sq.cm,C. 164 Sq.cm,D. 180 Sq.cm,C
The product of the area of three adjacent faces of a rectangular box is equal to___________?,A. the volume of the box,B. Twice the volume of the box,C. the square of the volume of the box,D. Cube root of the volume of the box,C
The sum of the length breadth and depth of cuboid is 19cm and it’s diagonal is 5√5 cm it’s surface area is_________?,A. 125 Sq.cm,B. 236 Sq.cm,C. 361 Sq.cm,D. None of these,B
A hall is a 15m long and 12m board. If the sum of the areas of the floor and the ceiling is equal to the areas of the 4 walls the volume of the hall is:,A. 720 Cu.m,B. 1200 Cu.m,C. 361 Sq.cm,D. None of these,B
A plot of land in the form of a rectangle has dimensions 240m x 180m. A draint 10m wide is dug all around it on the outside and the earth dug out is evenly spread over the plot increasing its surface level by 25cm. The depth of the drailent of,A. 1.227m,B. 1.225m,C. 1.233m,D. 1.229m,A
A rectangular tank measuring (5m x 4.5m x 2.1m) is dug in the center of the field measuring 13.5m x 2.5m. The earth dug out is speed every over the remaining portion of the field raised?,A. 4m,B. 4.1cm,C. 4.2cm,D. 4.3m,C
An agricultural field is in the form of a rectangle of length 20m and width 14m. A pit 6m long 3m wide and 2.5m deep is dug in a corner of the field and earth taken out of the pit is spread uniformly over. The remaining area of the field. The level of the field has raised by________?,A. 15.16cm,B. 16.17cm,C. 17.18cm,D. 18.19m,C
